timestamp,Altiva Hybrid Long-Short Fund,Magnum Hybrid Long Short Fund,iSIF Equity Ex-Top 100 Long-Short Fund,iSIF Hybrid Long-Short Fund,iSIF Active Asset Allocator Long-Short Fund,Qsif Equity Long-Short Fund,RedHex Hybrid Long-Short Fund,Titanium Hybrid Long-Short Fund,Altiva Equity Ex-Top 100 Long-Short Fund,Diviniti Equity Long Short Fund,DynaSIF Equity Long-Short Fund,iSIF Equity Long-Short Fund,Qsif Equity Ex-Top 100 Long-Short Fund,Titanium Equity Long-Short Fund,DynaSIF Active Asset Allocator Long-Short Fund,Qsif Hybrid Long-Short Fund,Arthaya Equity Long Short Fund,Arudha Hybrid Long-Short Fund,Arudha Equity Long-Short Fund,Apex Hybrid Long-Short Fund,Qsif Active Asset Allocator Long-Short Fund,WSIF Equity Long-Short Fund,WSIF Equity Ex-Top 100 Long-Short Fund,Sapphire Equity Long-Short SIF,Qsif Sector Rotation Long-Short Fund,Platinum Hybrid Long-Short Fund,DynaSIF Equity Ex-Top 100 Long-Short Fund,Infinity Hybrid Long-Short Fund
2026-05-06 00:00:00+00:00,10.6008,10.2625,10.0,10.05,,10.2968,,10.052,,953.8463,10.3994,,10.0979,,10.1986,10.6294,,10.146,10.31,10.09,10.0783,,,1011.1715,,,,
2026-05-07 00:00:00+00:00,10.6089,10.2775,10.06,10.0875,,10.3215,,10.0709,,954.5475,10.4452,,10.145,,10.222,10.6517,,10.155,10.315,10.11,10.1112,,,1015.0655,,,,
2026-05-08 00:00:00+00:00,10.6103,10.28,10.06,10.0566,,10.3177,,10.0368,,949.0503,10.4745,,10.1199,,10.2267,10.66,,10.158,10.283,10.1,10.1017,,,1009.762,,,,
2026-05-11 00:00:00+00:00,10.5945,10.265,9.98,9.9394,,10.1962,,9.9737,,935.2343,10.3636,,10.0532,,10.1365,10.5516,,10.157,10.209,10.08,10.0789,10.001,9.9962,995.5646,,,,
2026-05-12 00:00:00+00:00,10.5592,10.2225,9.81,9.7941,,10.0617,,9.8853,,923.1613,10.1834,,9.9168,,10.1134,10.4445,,10.155,10.083,10.06,10.0077,9.8228,9.8031,977.1849,,,,
2026-05-13 00:00:00+00:00,10.575,10.2334,9.87,9.7925,,10.1158,,9.9032,,925.6107,10.1845,,9.9402,,10.1521,10.4577,,10.153,10.065,10.06,10.0676,9.8336,9.8228,980.6736,,,,
2026-05-14 00:00:00+00:00,10.5996,10.2955,9.94,9.8308,,10.2099,,9.9766,,929.6806,10.2267,,9.9285,,10.1812,10.5055,,10.156,10.12,10.09,10.1375,9.8668,9.8489,991.2602,,,,
2026-05-15 00:00:00+00:00,10.5965,10.2936,9.95,9.8322,,10.2219,,9.945,,929.2501,10.2181,,9.899,,10.1639,10.5244,,10.155,10.116,10.08,10.1091,9.8881,9.8882,988.382,,,,
2026-05-18 00:00:00+00:00,10.5889,10.2892,9.88,9.7745,,10.21,,9.9233,,927.0136,10.108,,9.7877,,10.1131,10.4981,,10.149,10.08,10.08,10.0984,9.8457,9.8253,985.265,10.0096,,,
2026-05-19 00:00:00+00:00,10.6027,10.2883,9.93,9.8169,,10.2423,,9.9343,,926.3265,10.1419,,9.8307,,10.1533,10.5066,,10.151,10.129,10.1,10.0956,9.8979,9.8924,988.5561,10.0108,,,
